id,name,island,kind,candidateScore,candidateTitle,previewUrl,sourceUrl,creator,license,licenseUrl,decision
historic:estate-hogansborg,Estate Hogansborg,stx,historic,,,,,,,,
historic:estate-judiths-fancy,Estate Judith's Fancy,stx,historic,,,,,,,,
historic:estate-la-reine,Estate La Reine,stx,historic,,,,,,,,
historic:estate-little-princess,Estate Little Princess,stx,historic,,,,,,,,
historic:estate-mount-victory,Estate Mount Victory,stx,historic,,,,,,,,
historic:estate-neltjeberg,Estate Neltjeberg,stt,historic,,,,,,,,
historic:estate-niesky,Estate Niesky,stt,historic,,,,,,,,
historic:estate-perseverance,Estate Perseverance,stt,historic,,,,,,,,
historic:estate-prosperity,Estate Prosperity,stx,historic,,,,,,,,
historic:estate-saint-george-historic-district,Estate Saint George Historic District,stx,historic,,,,,,,,
historic:estate-st-john,Estate St. John,stx,historic,,,,,,,,
historic:estate-whim-greathouse,Estate Whim Greathouse,stx,historic,,,,,,,,
historic:evelyn-e-marcelli-elementary-school,Evelyn E. Marcelli Elementary School,stt,historic,,,,,,,,
historic:fortsberg-corral-bay,Fortsberg Corral Bay,stj,historic,,,,,,,,
historic:frederick-lutheran-church,Frederick Lutheran Church,stt,historic,,,,,,,,
historic:frederiksted-historic-district,Frederiksted Historic District,stx,historic,,,,,,,,
historic:friedensfeld-midlands-moravian-church-and-manse,Friedensfeld Midlands Moravian Church and Manse,stx,historic,,,,,,,,
historic:friedensthal-mission,Friedensthal Mission,stx,historic,,,,,,,,
historic:ft-frederik-of-us-virgin-islands,Ft. Frederik of US Virgin Islands,stx,historic,,,,,,,,
historic:government-house-stt,"Government House, St. Thomas",stt,historic,,,,,,,,
historic:green-kay,Green Kay,stx,historic,,,,,,,,
historic:hamburg-america-shipping-line-administrative-offices,Hamburg-America Shipping Line Administrative Offices,stt,historic,,,,,,,,
historic:hams-bluff-light,Hams Bluff Light,stx,historic,,,,,,,,
historic:hassel-island-additional-documentation,Hassel Island (Additional Documentation),stt,historic,,,,,,,,
