index,id,name,type,island,confidence,bucket,officialAuditSampled,candidateName,candidateSource,candidateLat,candidateLng,reason
2377,st_croix-point-southside-road,Southside Road,point,st_croix,weak,review_candidate,false,NORTHSIDE,geographic_index,17.75974688135625,-64.8840756495307,weak_similarity
2379,st_croix-point-southwest-anchorage,Southwest Anchorage,point,st_croix,none,research_clean_name_no_candidate,false,SOUTH GRAPETREE BAY,geographic_index,17.748278731624097,-64.59115064473225,weak_similarity
2380,st_thomas-estate-southwest-point,Southwest Point,estate,st_thomas,none,research_clean_name_no_candidate,false,ALTONA & WELGUNST,geographic_index,18.3412699576036,-64.94410778172886,weak_similarity
2381,st_croix-point-southwest-shoal,Southwest Shoal,point,st_croix,none,research_clean_name_no_candidate,false,SOUTH SLOB,geographic_index,17.7480671806761,-64.6006142929933,weak_similarity
2382,st_croix-point-sozo,SoZO,point,st_croix,none,generic_fragment_do_not_coordinate,false,SHOYS,geographic_index,17.756881054978102,-64.68080993897975,weak_similarity
2385,st_john-estate-spanishtown,Spanishtown,estate,st_john,none,research_clean_name_no_candidate,false,PASTORY,geographic_index,18.3333478812037,-64.78450558337934,weak_similarity
2386,st_croix-estate-sprat,Sprat,estate,st_croix,review,review_candidate,false,SPRATT HALL,geographic_index,17.74306767792325,-64.88348586636539,contains_clean_slug
2387,water_island-bay-sprat-bay,Sprat Bay,bay,water_island,none,research_clean_name_no_candidate,false,Honeymoon Beach,geographic_index,18.3195,-64.9517,weak_similarity
2388,st_croix-point-sprat-hole,Sprat Hole,point,st_croix,none,research_clean_name_no_candidate,false,SPRATT HALL,geographic_index,17.74306767792325,-64.88348586636539,weak_similarity
2389,water_island-estate-sprat-point,Sprat Point,estate,water_island,none,research_clean_name_no_candidate,false,Honeymoon Beach,geographic_index,18.3195,-64.9517,weak_similarity
2391,st_croix-bay-spring-bay,Spring Bay,bay,st_croix,review,review_candidate,false,SPRING GARDEN,geographic_index,17.7618197701666,-64.86168761714396,contains_clean_slug
2393,st_thomas-bay-spring-gut,Spring Gut,bay,st_thomas,none,research_clean_name_no_candidate,false,Caretbay Gut,geographic_index,18.36457293689035,-64.97608543520525,weak_similarity
2395,st_thomas-bay-spring-point,Spring Point,bay,st_thomas,none,research_clean_name_no_candidate,false,Smith Bay Road,geographic_index,18.335278251441,-64.86171891676014,weak_similarity
2397,st_croix-estate-springfleld,Springfleld,estate,st_croix,review,ocr_or_name_cleanup_first,false,SPRINGFIELD,geographic_index,17.73250369215545,-64.83460195498935,similarity_or_token_overlap
2398,st_thomas-estate-springgarden,Springgarden,estate,st_thomas,none,research_clean_name_no_candidate,false,Emancipation Garden,geographic_index,18.3412,-64.9316,weak_similarity
2399,st_thomas-estate-springgarden-gut,Springgarden Gut,estate,st_thomas,none,research_clean_name_no_candidate,false,Caretbay Gut,geographic_index,18.36457293689035,-64.97608543520525,weak_similarity
2400,st_thomas-estate-springgut,Springgut,estate,st_thomas,none,research_clean_name_no_candidate,false,Caretbay Gut,geographic_index,18.36457293689035,-64.97608543520525,weak_similarity
2401,st_thomas-estate-springgut-notch,Springgut Notch,estate,st_thomas,none,ocr_or_name_cleanup_first,false,MISGUNST,geographic_index,18.35687840900315,-64.9333822333455,weak_similarity
2402,st_thomas-estate-springs,Springs,estate,st_thomas,none,research_clean_name_no_candidate,false,Arons Estate,geographic_index,18.35358,-64.96938,weak_similarity
2405,st_croix-estate-st,St,estate,st_croix,none,generic_fragment_do_not_coordinate,false,A PIECE OF LAND EAST,geographic_index,17.755309796812,-64.5703082254501,
2406,st_croix-historic-st,St,historic,st_croix,none,generic_fragment_do_not_coordinate,false,,,,,
2409,st_thomas-point-st,St,point,st_thomas,none,generic_fragment_do_not_coordinate,false,Bellevue Hill,geographic_index,18.3265528432309,-64.9212594012035,
2421,st_thomas-bay-stalley-bay,Stalley Bay,bay,st_thomas,none,research_clean_name_no_candidate,false,STAABI,geographic_index,18.34908224179825,-64.9388313298573,weak_similarity
2422,st_thomas-island-stepmar-cay,Stepmar Cay,island,st_thomas,none,research_clean_name_no_candidate,false,DUTCHMAN CAP,geographic_index,18.37996707126645,-65.0617794059329,weak_similarity
2425,st_croix-estate-stewart-bay,Stewart Bay,estate,st_croix,review,review_candidate,false,MOUNT STEWART,geographic_index,17.747914595970848,-64.84303041392059,contains_clean_slug
2426,st_croix-estate-stioha,Stioha,estate,st_croix,none,research_clean_name_no_candidate,false,SIGHT,geographic_index,17.73987143959825,-64.6613933440346,weak_similarity
2429,st_thomas-bay-stony-bay,Stony Bay,bay,st_thomas,none,research_clean_name_no_candidate,false,Botany Bay,geographic_index,18.35401195896805,-65.03347371262775,weak_similarity
2430,st_john-estate-stonyground,Stonyground,estate,st_john,none,research_clean_name_no_candidate,false,FREEMAN'S GROUND,geographic_index,18.3322080432784,-64.7107281424398,weak_similarity
